אני חושב שאפשר לעשות שם join טבעי לא?,1
מישהו עשה במקרה את 1.ד.1 באלגברה רצליונית ואפשר להתייעץ איתו?,1
בשאלה הראשונה, כשהוא שואל מהי הסכמה של היחס ג'אנרים - מה הוא מצפה לקבל בתור תשובה?,1
תודה,0
אחשלנו,0
חריף אתה,0
כל כותרות העמודות,0
אני מניח שאת השדות: series-name
genre
language,0
This message was deleted,0
3 לא יכול להיות תשובה כי אין את הצירופים 3b cc d ו-  3b ccc d,0
התשובה כאן זה רק 1,0
אבל גם 1 1 1 3 לא? למה רק A?,0
התבלבלת בקבוצה ,0
התבלבלת בקבוצה ,0
בוקר טוב איפה ההרצאה של דודי היום?,0
76 kB,0
